Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Converted
2,24.5155,0,0.0,24,1349.0868,0.027466,0.055612,0.0,0.0,May,3,1,6,10,Returning_Visitor,False,0
5,161.8796,1,27.4937,30,858.5269,0.028085,0.034691,8.398368,0.0,May,3,2,1,6,Returning_Visitor,True,0
1,10.9465,0,0.0,12,796.4255,0.036448,0.048407,0.0,0.0,Oct,3,1,2,3,Returning_Visitor,True,0
5,96.3554,1,20.9451,15,409.4849,0.022893,0.041365,0.0,0.0,Mar,1,8,1,17,Returning_Visitor,True,0
2,36.3495,0,0.0,22,549.1725,0.012576,0.037111,87.907648,0.0,Dec,3,1,7,6,Returning_Visitor,False,1
1,8.6691,0,0.0,18,335.3443,0.017918,0.082806,0.570981,0.0,Dec,3,1,1,17,Returning_Visitor,False,0
0,0.0,0,0.0,29,1896.0313,0.005045,0.040235,17.468665,0.0,Nov,2,2,1,7,Returning_Visitor,False,0
7,19.3985,1,14.9862,67,3530.8333,0.0,0.011834,64.724582,0.8,May,3,1,5,3,Returning_Visitor,True,1
0,0.0,0,0.0,39,2002.4202,0.032058,0.04105,8.952391,0.0,Sep,1,2,8,18,Returning_Visitor,True,0
4,90.8404,0,0.0,9,157.2647,0.011158,0.050884,0.0,0.0,Mar,1,1,6,8,Returning_Visitor,True,0
2,36.314,1,9.4758,8,253.7547,0.024705,0.039289,0.0,0.0,Nov,1,6,2,13,Returning_Visitor,True,0
2,44.1663,0,0.0,6,95.2726,0.033658,0.067869,0.0,0.0,June,1,4,9,9,Returning_Visitor,False,0
1,76.6413,0,0.0,14,180.2723,0.043935,0.100241,0.0,0.0,Mar,1,1,1,19,New_Visitor,True,0
1,17.6907,0,0.0,11,145.7339,0.035822,0.102221,0.0,0.0,May,1,2,1,4,Returning_Visitor,False,0
2,71.8081,0,0.0,29,1519.4773,0.01376,0.025451,27.652981,0.0,Nov,2,1,1,7,Returning_Visitor,True,0
1,16.5477,0,0.0,12,207.6306,0.0076,0.05108,0.0,0.0,Nov,2,7,1,16,Returning_Visitor,False,0
3,43.8192,1,31.713,16,401.1222,0.032325,0.065075,0.0,0.0,June,2,1,3,18,Returning_Visitor,False,0
2,46.6623,0,0.0,12,1397.4643,0.040655,0.06526,10.791077,0.0,May,4,1,5,12,New_Visitor,True,0
2,6.8544,1,36.2991,23,400.7534,0.037412,0.059391,0.0,0.0,Nov,1,4,3,16,Returning_Visitor,False,0
1,6.1766,0,0.0,11,530.4199,0.02663,0.076347,0.0,0.0,Nov,2,1,3,13,Returning_Visitor,False,0
2,112.8172,1,14.1759,21,745.5025,0.023921,0.036168,0.0,0.0,Nov,1,7,4,19,Returning_Visitor,False,0
7,227.3258,0,0.0,56,870.6488,0.0,0.029378,0.0,0.0,May,3,2,7,20,Returning_Visitor,False,0
0,0.0,0,0.0,11,245.5114,0.036683,0.074084,0.0,0.0,Sep,2,2,2,5,Returning_Visitor,False,0
4,659.468,1,11.8609,94,2780.9187,0.0,0.0,38.69785,0.0,Nov,1,1,2,7,New_Visitor,False,1
1,6.1935,0,0.0,7,206.9691,0.027331,0.112297,0.0,0.0,Mar,1,2,7,19,Returning_Visitor,False,0
2,41.464,0,0.0,11,218.1756,0.048479,0.074648,0.0,0.0,May,1,2,1,6,Returning_Visitor,False,0
0,0.0,1,42.3715,5,50.3765,0.032638,0.085661,9.013259,0.0,Mar,2,1,1,14,Returning_Visitor,False,0
0,0.0,0,0.0,8,1039.1797,0.022194,0.058045,0.0,0.0,May,1,1,2,20,Returning_Visitor,False,0
1,26.1662,2,64.0309,0,0.0,0.056673,0.093794,0.0,0.0,Nov,3,2,4,15,Returning_Visitor,False,0
0,0.0,0,0.0,26,961.9589,0.0,0.05979,4.167888,0.0,Mar,1,1,1,14,Returning_Visitor,False,0
0,0.0,0,0.0,10,323.3584,0.010352,0.045682,0.0,0.0,June,5,2,1,4,Returning_Visitor,False,0
2,27.9181,3,11.2982,22,387.2593,0.008099,0.060732,7.758474,0.0,Mar,1,1,2,5,Returning_Visitor,False,0
0,0.0,0,0.0,50,2197.3761,0.003544,0.003263,21.981268,0.0,Nov,1,10,2,5,New_Visitor,True,1
2,19.6048,0,0.0,14,1395.8668,0.014589,0.054517,16.57404,0.0,Nov,6,2,7,2,Returning_Visitor,False,0
3,107.3924,0,0.0,25,720.3371,0.004976,0.055546,4.72171,0.0,June,1,1,3,20,Returning_Visitor,False,0
0,0.0,3,73.1856,12,402.6028,0.040917,0.085388,0.0,0.0,Oct,4,10,7,17,Returning_Visitor,False,0
6,44.1943,2,161.4724,26,676.4592,0.019806,0.03558,41.151967,0.0,Mar,1,11,2,16,Returning_Visitor,True,1
0,0.0,1,8.44,26,1233.9301,0.007912,0.008633,28.453682,0.0,Nov,2,12,3,16,Returning_Visitor,False,0
0,0.0,0,0.0,11,140.5879,0.041502,0.082512,0.0,0.0,Oct,4,1,3,18,Returning_Visitor,True,0
0,0.0,0,0.0,33,2255.4856,0.0,0.022776,26.648575,0.0,Mar,1,1,1,15,Returning_Visitor,False,1
0,0.0,1,13.1079,17,565.455,0.033607,0.077746,18.886015,0.0,Dec,1,1,1,6,Returning_Visitor,False,0
4,24.0407,2,147.0129,15,165.2164,0.024467,0.092855,0.0,0.0,Feb,1,5,1,5,Returning_Visitor,False,0
1,20.662,0,0.0,27,311.3154,0.030539,0.050909,0.0,0.0,Aug,1,2,1,10,New_Visitor,False,0
3,85.1831,0,0.0,31,433.5506,0.001295,0.038052,7.138775,0.0,Mar,2,1,5,4,Returning_Visitor,True,0
2,42.6472,0,0.0,9,602.8906,0.055844,0.068257,0.0,0.0,Oct,3,1,6,11,Returning_Visitor,False,0
3,139.3132,1,16.9897,22,337.5076,0.0,0.018106,89.743476,0.0,Mar,1,6,2,15,Returning_Visitor,False,1
0,0.0,1,23.3921,28,1171.555,0.021772,0.056101,23.08883,0.0,Mar,2,1,1,6,Returning_Visitor,True,0
3,20.5518,1,56.395,13,646.0748,0.022501,0.070874,18.16604,0.0,May,3,2,1,5,Returning_Visitor,False,1
1,12.8147,0,0.0,16,978.3226,0.019686,0.029166,0.0,0.0,Dec,4,1,3,3,Returning_Visitor,False,0
2,44.0547,0,0.0,20,1465.8896,0.028003,0.058303,14.033818,1.0,May,7,1,2,11,Returning_Visitor,True,0
0,0.0,0,0.0,5,138.6561,0.042776,0.100931,0.0,0.8,Aug,4,1,8,4,New_Visitor,False,0
2,205.9116,0,0.0,9,136.2414,0.01332,0.072569,0.0,0.0,June,1,1,7,19,Returning_Visitor,False,0
2,49.0288,0,0.0,3,353.0891,0.037534,0.077945,0.0,0.0,Nov,1,1,8,7,Returning_Visitor,False,0
1,26.7212,0,0.0,27,466.7891,0.009338,0.031097,79.91665,0.0,May,3,1,4,16,Returning_Visitor,False,1
3,57.2148,0,0.0,17,569.406,0.018861,0.05132,12.457308,0.0,June,1,1,6,9,New_Visitor,True,0
1,11.1007,0,0.0,22,489.059,0.030408,0.02758,0.0,0.0,Dec,1,8,6,17,Returning_Visitor,True,0
6,95.8099,0,0.0,14,246.7818,0.064324,0.082931,0.0,0.0,May,4,2,1,1,Returning_Visitor,True,0
1,18.4478,0,0.0,22,884.3699,0.028101,0.074187,14.753874,0.2,May,2,1,3,5,Returning_Visitor,True,0
2,31.8941,1,14.8823,12,353.3874,0.007348,0.039367,44.925196,0.0,Nov,1,1,3,10,Other,False,1
1,20.7828,1,8.0751,19,769.1923,0.041651,0.069413,0.0,0.6,May,2,1,3,11,New_Visitor,False,0
4,46.7437,0,0.0,6,227.4165,0.035988,0.071255,0.0,0.0,May,1,1,2,11,Returning_Visitor,False,0
1,13.6537,0,0.0,19,267.6314,0.017064,0.06434,0.0,0.0,May,1,2,1,14,New_Visitor,False,0
2,41.682,0,0.0,24,608.6753,0.02295,0.042314,20.687209,0.0,Nov,7,3,5,10,New_Visitor,False,0
1,48.6628,2,58.4753,24,1483.9027,0.0099,0.055099,2.772346,0.0,Dec,1,2,1,16,Returning_Visitor,False,0
1,25.0925,0,0.0,57,3473.2315,0.001524,0.015635,6.497929,0.0,Aug,2,1,1,12,Returning_Visitor,False,0
3,60.5536,0,0.0,24,483.0736,0.046591,0.057435,22.379418,0.0,Aug,1,1,6,19,Returning_Visitor,True,0
4,37.5497,1,16.2954,28,723.2952,0.002346,0.040351,18.989216,0.0,May,1,1,7,2,Returning_Visitor,True,0
3,231.4755,0,0.0,25,753.0477,0.0,0.040893,15.755674,0.0,Feb,1,1,8,14,Returning_Visitor,False,0
0,0.0,0,0.0,8,164.7678,0.015469,0.068081,0.0,0.0,Mar,1,1,8,18,Returning_Visitor,False,0
1,21.8967,2,34.5121,21,701.2675,0.025657,0.054261,84.679931,0.0,Mar,3,1,1,2,Returning_Visitor,False,0
1,11.3951,0,0.0,3,40.8744,0.05504,0.0928,0.0,0.0,Mar,1,1,3,5,Returning_Visitor,True,0
0,0.0,0,0.0,13,301.8697,0.009526,0.068777,0.0,0.0,Sep,2,1,1,5,New_Visitor,False,0
1,8.8236,0,0.0,22,390.7659,0.001729,0.028696,16.875564,0.0,Mar,3,5,3,9,Returning_Visitor,False,0
1,15.9019,0,0.0,10,279.6204,0.023538,0.072629,171.177368,0.0,Mar,1,1,5,11,Returning_Visitor,False,1
3,86.7363,0,0.0,35,649.2717,0.000219,0.047991,19.738563,0.0,May,1,2,9,18,Returning_Visitor,False,1
2,64.8888,1,6.2824,29,2079.1482,0.026803,0.050122,9.475607,0.0,May,1,6,8,8,Returning_Visitor,False,0
2,26.3452,0,0.0,16,761.8982,0.031623,0.055835,0.0,0.0,Mar,1,6,3,15,Returning_Visitor,False,0
0,0.0,1,20.1558,16,501.1541,0.017362,0.030328,3.716748,0.0,Mar,1,4,2,17,Returning_Visitor,False,0
4,113.782,1,11.9265,16,547.6245,0.025325,0.066439,0.0,0.0,May,1,2,2,15,New_Visitor,False,0
2,27.2202,0,0.0,21,1186.5116,0.024702,0.027211,0.0,0.0,June,1,1,3,19,Returning_Visitor,True,0
2,20.9624,0,0.0,45,1563.5315,0.0,0.032846,30.552917,0.0,Nov,1,1,1,17,Returning_Visitor,True,1
2,10.2423,0,0.0,45,986.8647,0.018604,0.017969,36.179147,0.0,Nov,1,1,2,8,Returning_Visitor,False,1
4,148.161,1,20.3714,12,229.7373,0.006001,0.05333,0.0,0.8,Nov,2,2,1,20,New_Visitor,False,0
0,0.0,0,0.0,6,589.0693,0.016851,0.070145,0.0,0.0,Aug,1,1,1,19,Returning_Visitor,False,0
2,33.6741,0,0.0,13,395.0647,0.008079,0.040942,24.451577,0.0,Nov,2,1,8,1,Returning_Visitor,True,0
1,6.8426,1,22.1927,16,309.7364,0.007763,0.044465,5.03235,0.0,June,6,1,2,20,Returning_Visitor,True,0
1,17.6932,0,0.0,21,437.5616,0.007899,0.00237,0.0,0.0,Aug,3,1,2,20,Returning_Visitor,False,0
2,60.067,0,0.0,18,800.0302,0.0,0.052617,0.0,0.0,May,1,5,4,17,Returning_Visitor,False,0
3,142.3672,0,0.0,41,591.1061,0.004378,0.018447,34.919659,0.0,May,2,2,3,19,Returning_Visitor,False,1
2,25.6824,1,52.1111,9,106.0005,0.003349,0.043307,0.0,0.0,May,8,1,7,17,Returning_Visitor,True,0
0,0.0,0,0.0,19,1150.8373,0.035157,0.07753,0.0,0.0,Mar,3,8,7,3,Returning_Visitor,False,0
2,43.5531,1,42.8745,36,1792.2681,0.005305,0.018747,3.082237,0.8,Nov,2,2,1,1,Returning_Visitor,False,0
2,14.6234,0,0.0,8,59.8329,0.02469,0.073069,0.0,0.0,Mar,2,4,2,6,Returning_Visitor,False,0
3,45.1035,1,31.3293,11,125.4321,0.017446,0.070746,0.0,0.0,Sep,5,4,1,1,Returning_Visitor,False,0
2,16.4278,1,9.8518,18,808.3659,0.014196,0.071316,6.792063,0.0,Nov,1,2,8,14,Returning_Visitor,False,0
1,33.7881,0,0.0,31,562.0306,0.0,0.047067,55.470544,0.0,May,2,8,1,18,Returning_Visitor,False,1
3,52.5791,0,0.0,23,689.0054,0.026233,0.050519,0.0,0.0,Mar,1,1,6,18,Returning_Visitor,True,0
0,0.0,0,0.0,4,65.9235,0.033843,0.094311,36.279558,0.0,May,2,3,6,2,Returning_Visitor,False,0
1,5.3237,1,61.6259,18,107.9006,0.001488,0.029296,0.0,0.0,May,1,1,7,11,Returning_Visitor,False,0
1,4.3812,0,0.0,9,495.5166,0.028092,0.052948,0.0,0.0,Dec,4,8,4,11,New_Visitor,True,0
3,26.5931,0,0.0,40,1019.279,0.007542,0.024843,9.702569,0.0,Oct,1,2,3,11,Returning_Visitor,False,0
